,precision,recall,f1-score,support
01_palm,0.9950248756218906,1.0,0.9975062344139651,200.0
02_l,0.7326007326007326,1.0,0.8456659619450317,200.0
03_fist,1.0,1.0,1.0,200.0
04_fist_moved,1.0,0.975,0.9873417721518988,200.0
05_thumb,1.0,1.0,1.0,200.0
06_index,1.0,0.92,0.9583333333333334,200.0
07_ok,0.9166666666666666,0.275,0.4230769230769231,200.0
08_palm_moved,1.0,0.285,0.44357976653696496,200.0
09_c,0.7017543859649122,1.0,0.8247422680412371,200.0
10_down,0.5797101449275363,1.0,0.7339449541284404,200.0
accuracy,0.8455,0.8455,0.8455,0.8455
macro avg,0.8925756805781739,0.8455,0.8214191213627794,2000.0
weighted avg,0.8925756805781738,0.8455,0.8214191213627794,2000.0
